respondent_code,country,early_marriage_rate_response_type,estimate_guess_early_marriage_rate,correct_answer_early_marriage_rate_in_2015,share_of_seats_held_by_women_response_type,estimate_guess_share_of_seats_held_by_women_in_parliament_in_2016,correct_answer_share_of_seats_held_by_women,female_labour_force_participation_rate_response_type,estimate_guess_female_labour_force_participation_rate_for_women_in_2015,correct_answer_female_labour_force_participation_rate,some_secondary_education_response_type,estimate_guess_female_population_with_at_least_some_secondary_education_in_2015,correct_answer_some_secondary_education,maternal_mortality_rate_in_2015_response_type,estimate_guess_maternal_mortality_rate_in_2015,correct_answer_maternal_mortality_rate_in_2015
101,Colombia,3,,23,2,15,21,2,25,58,2,65,50,2,5,64
102,Colombia,2,5,23,2,15,21,2,40,58,2,40,50,2,35,64
103,Colombia,1,80,23,1,18,21,2,,58,2,94,50,1,5,64
104,Colombia,2,25,23,1,30,21,2,45,58,1,70,50,2,7,64
105,Colombia,2,30,23,1,24,21,1,50,58,1,80,50,2,,64
106,Colombia,2,,23,2,27,21,2,35,58,1,80,50,3,15,64
107,Colombia,3,30,23,2,40,21,2,60,58,3,70,50,3,50,64
108,Colombia,2,20,23,1,35,21,2,40,58,1,50,50,2,80,64
109,Colombia,2,25,23,2,33,21,2,63,58,2,70,50,2,15,64
110,Colombia,2,20,23,2,15,21,2,55,58,2,20,50,2,5,64
111,Colombia,2,8,23,1,12,21,1,68,58,3,80,50,3,10,64
112,Colombia,2,18,23,2,5,21,1,43,58,1,25,50,1,71,64
113,Colombia,3,,23,2,30,21,1,50,58,2,,50,2,,64
114,Colombia,2,,23,2,40,21,2,40,58,2,50,50,3,,64
115,Colombia,3,,23,1,30,21,3,,58,3,20,50,3,10,64
116,Colombia,2,4,23,2,25,21,2,37,58,2,56,50,2,2,64
117,Colombia,3,35,23,3,10,21,2,60,58,2,45,50,2,30,64
118,Colombia,2,10,23,2,30,21,2,40,58,2,50,50,2,10,64
119,Colombia,2,38,23,1,12,21,1,45,58,3,40,50,2,,64
120,Colombia,2,,23,1,30,21,1,45,58,3,40,50,2,,64
301,India,2,,47,1,15,12,2,,27,2,,35,2,,174
302,India,2,,47,2,25,12,1,48,27,2,,35,2,,174
303,India,1,26,47,1,11,12,1,28,27,2,,35,2,,174
304,India,1,15,47,2,15,12,2,,27,2,,35,1,79,174
305,India,1,65,47,2,,12,2,,27,2,,35,2,,174
306,India,2,40,47,1,33,12,2,50,27,2,65,35,2,20,174
307,India,2,50,47,2,12,12,2,42,27,2,48,35,2,,174
308,India,2,60,47,2,,12,3,,27,2,,35,2,,174
309,India,2,20,47,2,,12,3,,27,2,,35,2,,174
310,India,2,20,47,2,33,12,2,20,27,2,20,35,2,258,174
311,India,3,25,47,2,10,12,2,20,27,1,67,35,2,,174
312,India,2,,47,1,12,12,1,24,27,2,,35,2,,174
313,India,2,,47,1,30,12,2,,27,2,,35,2,,174
314,India,2,5,47,2,15,12,2,35,27,1,95,35,2,5,174
315,India,3,50,47,2,25,12,2,30,27,2,60,35,1,265,174
316,India,2,40,47,2,15,12,2,60,27,2,25,35,2,265,174
317,India,2,10,47,2,18,12,2,70,27,3,40,35,3,200,174
318,India,3,20,47,2,30,12,3,40,27,3,60,35,3,260,174
319,India,2,30,47,2,30,12,2,40,27,2,50,35,1,265,174
320,India,3,12,47,1,30,12,2,40,27,3,30,35,3,250,174
321,India,2,21,47,2,10,12,2,40,27,2,30,35,2,263,174
322,India,2,,47,2,5,12,1,50,27,1,65,35,1,2,174
323,India,2,5,47,1,9,12,2,25,27,2,45,35,1,40,174
324,India,2,3,47,2,15,12,2,70,27,2,60,35,1,5,174
325,India,2,42,47,1,33,12,2,65,27,1,78,35,2,,174
326,India,3,,47,1,10,12,1,30,27,2,,35,2,,174
201,Kenya,2,,26,1,19,21,1,39,62,1,68,28,1,200,510
202,Kenya,2,,26,2,30,21,2,25,62,2,45,28,2,25,510
203,Kenya,1,50,26,1,50,21,1,67,62,1,50,28,1,100,510
204,Kenya,2,40,26,2,50,21,2,80,62,2,60,28,2,10000,510
205,Kenya,1,55,26,2,25,21,2,50,62,2,40,28,2,20,510
206,Kenya,2,46,26,2,22,21,3,40,62,1,49,28,1,510,510
207,Kenya,2,60,26,2,19,21,2,70,62,2,39,28,2,,510
208,Kenya,2,,26,2,,21,2,,62,2,,28,2,,510
209,Kenya,2,40,26,2,20,21,2,30,62,2,60,28,2,10000,510
210,Kenya,2,10,26,2,47,21,2,50,62,3,48,28,2,44,510
211,Kenya,2,20,26,2,90,21,2,51,62,2,48,28,2,,510
212,Kenya,2,,26,1,17,21,1,55,62,1,85,28,1,12,510
213,Kenya,2,23,26,2,,21,2,40,62,2,60,28,2,20,510
214,Kenya,3,10,26,2,6,21,3,48,62,2,70,28,3,,510
215,Kenya,4,,26,4,,21,2,,62,2,,28,2,,510
216,Kenya,2,,26,2,,21,2,,62,2,,28,2,,510
217,Kenya,2,,26,2,,21,2,,62,2,,28,2,,510
218,Kenya,2,,26,2,,21,2,,62,2,,28,2,,510
219,Kenya,1,10,26,1,66,21,2,40,62,1,40,28,2,9,510
220,Kenya,4,,26,4,,21,4,,62,2,,28,4,,510
221,Kenya,2,30,26,2,24,21,2,25,62,2,70,28,2,45,510
222,Kenya,2,,26,2,,21,2,,62,2,,28,2,,510
401,Indonesia,1,2,22,1,30,17,1,45,51,1,60,43,2,,126
402,Indonesia,2,,22,1,17,17,1,50,51,2,,43,1,1,126
403,Indonesia,2,,22,2,,17,2,,51,2,,43,2,,126
404,Indonesia,2,,22,1,20,17,3,,51,3,,43,2,,126
405,Indonesia,3,,22,1,30,17,1,70,51,1,70,43,2,,126
406,Indonesia,3,,22,1,30,17,3,,51,3,,43,1,30,126
407,Indonesia,2,1,22,1,17,17,1,50,51,1,10,43,2,3,126
408,Indonesia,3,,22,1,30,17,2,,51,3,,43,2,,126
409,Indonesia,2,,22,1,17,17,1,34,51,2,,43,2,,126
410,Indonesia,2,,22,2,30,17,1,70,51,2,,43,2,,126
411,Indonesia,2,,22,1,10,17,2,,51,2,,43,2,,126
412,Indonesia,1,10,22,1,20,17,1,40,51,1,40,43,1,10,126
413,Indonesia,1,30,22,1,16,17,1,40,51,2,,43,1,4,126
414,Indonesia,2,,22,1,13,17,2,,51,2,,43,2,,126
415,Indonesia,2,,22,1,17,17,2,,51,2,,43,1,15,126
416,Indonesia,2,,22,1,30,17,2,,51,2,,43,2,,126
417,Indonesia,2,25,22,1,20,17,1,50,51,1,70,43,2,60,126
418,Indonesia,1,10,22,1,30,17,1,60,51,1,80,43,1,3,126
419,Indonesia,3,,22,1,30,17,1,50,51,3,,43,2,,126
420,Indonesia,1,10,22,1,30,17,2,,51,2,,43,1,10,126
421,Indonesia,3,,22,1,10,17,3,,51,2,,43,2,,126
422,Indonesia,1,5,22,1,30,17,1,30,51,2,,43,2,,126
501,Senegal,2,30,32,1,50,43,3,20,45,2,,10,1,2,315
502,Senegal,2,40,32,1,50,43,2,,45,2,,10,2,,315
503,Senegal,2,80,32,1,45,43,3,,45,1,68,10,1,3,315
504,Senegal,3,,32,1,50,43,1,25,45,1,55,10,1,10,315
505,Senegal,2,,32,1,50,43,1,25,45,1,40,10,2,,315
506,Senegal,2,,32,1,50,43,1,15,45,2,,10,1,10,315
507,Senegal,2,,32,1,50,43,2,,45,1,50,10,2,,315
508,Senegal,1,37,32,1,40,43,3,,45,1,25,10,3,,315
509,Senegal,2,,32,1,50,43,1,26,45,2,,10,2,,315
510,Senegal,3,,32,1,50,43,1,26,45,3,,10,3,,315
511,Senegal,2,,32,1,50,43,2,,45,2,,10,2,,315
512,Senegal,2,,32,1,49,43,2,,45,2,,10,2,,315
513,Senegal,3,,32,1,50,43,2,,45,2,,10,2,,315
514,Senegal,2,,32,1,50,43,2,,45,2,,10,2,,315
515,Senegal,2,,32,1,50,43,2,,45,2,,10,2,,315
516,Senegal,3,,32,1,46,43,3,,45,3,,10,3,,315
517,Senegal,2,,32,1,50,43,1,22,45,2,,10,2,,315
518,Senegal,3,,32,1,46,43,3,,45,3,,10,3,,315
519,Senegal,2,,32,1,50,43,3,,45,2,,10,1,2,315
520,Senegal,2,,32,1,50,43,2,,45,2,,10,2,,315
521,Senegal,3,,32,1,50,43,3,,45,1,24,10,3,,315
522,Senegal,2,,32,1,47,43,2,22,45,2,,10,2,,315
